dataset	training_triples	testing_triples	validation_triples	total_triples	error_rate	time	size	natural_size	training	training_time	testing	testing_time	validation	validation_time
codexsmall	32888	1828	1827	36543	0.6	0.0012156916899999715	34968	4.4 kB	1.0	0.0012362031149999808	0.60667	0.00011286770800000312	0.59551	0.00014251680750000163
codexsmall	32888	1828	1827	36543	0.5	0.002378302040000051	47448	5.9 kB	1.0	0.001942697869999961	0.57112	0.0002090383360000061	0.55118	0.00015621283600000168
codexsmall	32888	1828	1827	36543	0.2	0.00258556757000008	110170	13.8 kB	1.0	0.002048172700000066	0.2128	0.00022302804299999935	0.20525	0.000240822921000003
codexsmall	32888	1828	1827	36543	0.1	0.0027151832399999877	157617	19.7 kB	1.0	0.002826361820000045	0.08917	0.0003272814319999924	0.09524	0.00028438589999998953
codexsmall	32888	1828	1827	36543	0.01	0.004551189740000155	315234	39.4 kB	1.0	0.004459292299999902	0.00875	0.00047763317199999735	0.01095	0.0004433572119999951
codexsmall	32888	1828	1827	36543	0.001	0.005891261099999951	472851	59.1 kB	1.0	0.006058324300000208	0.00219	0.0006256788520000214	0.00164	0.0006442259840000019
codexsmall	32888	1828	1827	36543	0.0001	0.008034772480000072	630467	78.8 kB	1.0	0.008253779519999966	0.0	0.0008749141919999772	0.0	0.0009011044920000017
codexsmall	32888	1828	1827	36543	1e-05	0.00975477331999997	788084	98.5 kB	1.0	0.010157493950000429	0.0	0.0011652358750000502	0.0	0.0011081266500000452
codexmedium	185584	10311	10310	206205	1.0	0.0009696927539999934	0	0 Bytes	1.0	0.001000769679999962	1.0	0.00030536563199999025	1.0	0.0002519070199999973
codexmedium	185584	10311	10310	206205	0.8	0.005979476030000086	86194	10.8 kB	1.0	0.004273606089999902	0.88168	0.0006704328739999994	0.88322	0.00040924142599999414
codexmedium	185584	10311	10310	206205	0.6	0.003397644230000054	197316	24.7 kB	1.0	0.002200768550000021	0.61468	0.0004224375580000128	0.60834	0.0004817471160000082
codexmedium	185584	10311	10310	206205	0.5	0.004328669520000119	267742	33.5 kB	1.0	0.004176282399999991	0.56105	0.00080677863599999	0.55839	0.0005543624679999937
codexmedium	185584	10311	10310	206205	0.2	0.004750366100000178	621676	77.7 kB	1.0	0.003615472989999944	0.20124	0.0010208631640000192	0.2161	0.001352620539999947
codexmedium	185584	10311	10310	206205	0.1	0.012706332850000024	889417	111.2 kB	1.0	0.00821236601999999	0.10251	0.0012008091800000216	0.10078	0.0009583966580000265
codexmedium	185584	10311	10310	206205	0.01	0.007921006079999984	1778834	222.4 kB	1.0	0.007714429779999818	0.01241	0.0015926166349998993	0.00931	0.0015627375599999028
codexmedium	185584	10311	10310	206205	0.001	0.011025857949999818	2668251	333.5 kB	1.0	0.01080890805000081	0.00126	0.002188748359999977	0.00116	0.005570345140000086
codexmedium	185584	10311	10310	206205	0.0001	0.015170789249999928	3557667	444.7 kB	1.0	0.03653841	0.00019	0.002949472939999964	0.0001	0.0030715318899999034
codexmedium	185584	10311	10310	206205	1e-05	0.01823032344999973	4447084	555.9 kB	1.0	0.018296710399999937	0.0001	0.0036065389399999506	0.0001	0.00365335382000012
codexlarge	551193	30622	30622	612437	1.0	0.0031592028299999696	0	0 Bytes	1.0	0.0032752356999998255	1.0	0.0002991588300000103	1.0	0.0003281499500000109
codexlarge	551193	30622	30622	612437	0.8	0.010250540840000327	255999	32.0 kB	1.0	0.012608683160000283	0.88512	0.0009864923899999666	0.88498	0.0009270436240000208
codexlarge	551193	30622	30622	612437	0.6	0.008130100559999959	586038	73.3 kB	1.0	0.008658417859999759	0.60995	0.0010634520950000591	0.60803	0.0009708743660000323
codexlarge	551193	30622	30622	612437	0.5	0.013493494300000464	795204	99.4 kB	1.0	0.012335106250000649	0.5611	0.0015455847650000009	0.56074	0.0015681781349999825
codexlarge	551193	30622	30622	612437	0.2	0.02109610145000005	1846406	230.8 kB	1.0	0.022599764899999285	0.2041	0.002246376979999809	0.20691	0.0025287572599998497
codexlarge	551193	30622	30622	612437	0.1	0.0313987319000006	2641609	330.2 kB	1.0	0.03448624920000043	0.10074	0.002751641090000021	0.10212	0.003172632399999884
codexlarge	551193	30622	30622	612437	0.01	0.04064224039999544	5283218	660.4 kB	1.0	0.06952882620000196	0.00892	0.005330150379999736	0.00954	0.004709001539999917
codexlarge	551193	30622	30622	612437	0.001	0.11501858100000106	7924826	990.6 kB	1.0	0.113608074199999	0.00118	0.009446186659999967	0.00088	0.007741436119999889
codexlarge	551193	30622	30622	612437	0.0001	0.08350963440000214	10566435	1.3 MB	1.0	0.08056059599999799	0.0002	0.010802777999998625	0.00026	0.01106694635000025
codexlarge	551193	30622	30622	612437	1e-05	0.10274825250000674	13208043	1.7 MB	1.0	0.103948682500004	0.0	0.014667954349999946	0.0	0.016782770250000568
fb15k	483142	59071	50000	592213	1.0	0.0037275777599998605	0	0 Bytes	1.0	0.002757096420000096	1.0	0.0003069590460000029	1.0	0.00029633303199997843
